id,title,department,category,type,source,organization,url,download_url,local_path,language,format,pages_or_size,version,date,summary,topics,keywords,quality_score,security_level,sha256,status
DOC-IT-HD-001,Windows 10/11: Troubleshoot Blue Screen (BSOD) stop errors,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/windows-client/setup/troubleshoot-blue-screen-errors,https://learn.microsoft.com/en-us/windows-client/setup/troubleshoot-blue-screen-errors,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-001.md,en,MD,373 KB,2.1,2021-02-02,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Windows 10/11: Troubleshoot Blue Screen (BSOD) stop errors thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-001, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",88,INTERNAL,a0b2281890800e3d353cd5b3f043f362fcc49d370422cbcedac19d8033a8da31,VERIFIED
DOC-IT-HD-002,Windows 11: Deployment and clean installation guidelines,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,GUIDE,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/windows-hardware/manufacture/desktop/windows-deployment-options,https://learn.microsoft.com/en-us/windows-hardware/manufacture/desktop/windows-deployment-options,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-002.pdf,en,PDF,496 KB,3.2,2022-03-03,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Windows 11: Deployment and clean installation guidelines thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-002, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",93,INTERNAL,ae350ecaa54f6ccc51108580ebb0ef652c9cde4446a0ef24f3ac4cba582f72d9,VERIFIED
DOC-IT-HD-003,Windows 10/11: Troubleshoot Windows Update error codes,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/windows/deployment/update/windows-update-troubleshooting,https://learn.microsoft.com/en-us/windows/deployment/update/windows-update-troubleshooting,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-003.docx,en,DOCX,4.0 MB,4.3,2023-04-04,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Windows 10/11: Troubleshoot Windows Update error codes thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-003, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",98,DEPARTMENT,f1aa4105407fe8d33f9d1cb3fbe4f4f88cef3a2f5912b719eafe6d9ad9358101,VERIFIED
DOC-IT-HD-004,Windows 11: System File Checker (SFC) and DISM command repair,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,GUIDE,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/sfc,https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/sfc,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-004.pdf,en,PDF,742 KB,1.4,2024-05-05,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Windows 11: System File Checker (SFC) and DISM command repair thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-004, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",93,INTERNAL,ee572abb813b5b9fc58e1ac95b448b8d7b8ce095940248a67ff512f90c4b771a,VERIFIED
DOC-IT-HD-005,Microsoft Outlook: Rebuild corrupted OST/PST data files,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/outlook/troubleshoot/data-files/how-to-repair-personal-folder-file,https://learn.microsoft.com/en-us/outlook/troubleshoot/data-files/how-to-repair-personal-folder-file,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-005.md,en,MD,865 KB,2.5,2020-06-06,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft Outlook: Rebuild corrupted OST/PST data files thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-005, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",94,INTERNAL,30de64af61bd2a17e97cee7b6179af19b7db8c65d127577efe5b860e157339cd,VERIFIED
DOC-IT-HD-006,Microsoft Outlook: Autodiscover and Exchange connection issues,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/exchange/troubleshoot/outlook-issues/autodiscover-issues,https://learn.microsoft.com/en-us/exchange/troubleshoot/outlook-issues/autodiscover-issues,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-006.pdf,en,PDF,7.0 MB,3.6,2021-07-07,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft Outlook: Autodiscover and Exchange connection issues thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-006, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",89,DEPARTMENT,e6e017ed7e1760b37f0d36165b6ecf3a9582eca82218cea8719126db24a0185d,VERIFIED
DOC-IT-HD-007,Microsoft Outlook: Configure S/MIME digital signatures and encryption,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,GUIDE,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/smime-in-exchange-online,https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/smime-in-exchange-online,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-007.md,en,MD,1111 KB,4.7,2022-08-08,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft Outlook: Configure S/MIME digital signatures and encryption thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-007, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",84,INTERNAL,320b26645e8c55e2853e7621453ef568a9212e6a60d30b86c8fd37c54812bdce,VERIFIED
DOC-IT-HD-008,Microsoft Teams: Clear local desktop client cache,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/microsoftteams/troubleshoot/teams-administration/clear-teams-cache,https://learn.microsoft.com/en-us/microsoftteams/troubleshoot/teams-administration/clear-teams-cache,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-008.pdf,en,PDF,1234 KB,1.8,2023-09-09,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft Teams: Clear local desktop client cache thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-008, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",90,INTERNAL,f75c3f347b1836987a0abbf1544beb894738d62c53a7b669c78f88f9cc0fd2f4,VERIFIED
DOC-IT-HD-009,Microsoft Teams: Audio and video peripheral device troubleshooting,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/microsoftteams/troubleshoot/media/audio-video-troubleshooting,https://learn.microsoft.com/en-us/microsoftteams/troubleshoot/media/audio-video-troubleshooting,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-009.docx,en,DOCX,2.0 MB,2.0,2024-10-10,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft Teams: Audio and video peripheral device troubleshooting thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-009, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",95,DEPARTMENT,6e2d837d91fd33bcda7c0c595643f172031396003012bec09b3ee9e950c9fcb2,VERIFIED
DOC-IT-HD-010,Microsoft OneDrive: Troubleshoot sync engine conflicts and errors,IT_HELPDESK,Hỗ trợ Kỹ thuật & Người dùng,TROUBLESHOOTING,Microsoft Learn,Microsoft Corporation,https://learn.microsoft.com/en-us/sharepoint/troubleshoot/sync-errors/fix-onedrive-sync-problems,https://learn.microsoft.com/en-us/sharepoint/troubleshoot/sync-errors/fix-onedrive-sync-problems,enterprise_knowledge_base/01_IT/helpdesk/doc-it-hd-010.pdf,en,PDF,1480 KB,3.1,2020-11-11,"Tài liệu tiêu chuẩn và quy trình nghiệp vụ Microsoft OneDrive: Troubleshoot sync engine conflicts and errors thuộc phạm vi Hỗ trợ Kỹ thuật & Người dùng của bộ phận IT_HELPDESK. Cung cấp hướng dẫn kỹ thuật chi tiết, kiểm soát rủi ro và tuân thủ vận hành doanh nghiệp.",Hỗ trợ Kỹ thuật & Người dùng; IT_HELPDESK; Enterprise Standard; Compliance; Operations,"doc-it-hd-010, hỗ_trợ_kỹ_thuật_&_người_dùng, it_helpdesk, quy_trinh, huong_dan, tieu_chuan",82,INTERNAL,5f3e562b43e6facbdcf726eb3ff570a93a174ad621251b42494fc30c822d5bc0,VERIFIED
